taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2701389	Juncus effusus var. pylaei (Laharpe) Fernald & Wiegand	2701388	Juncus pylaei Laharpe	2	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Juncaceae	5353	Juncus	2701072	Juncus pylaei	2701388	
2701532	Juncus marginatus Rostk.	2701532	Juncus marginatus Rostk.	11	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Juncaceae	5353	Juncus	2701072	Juncus marginatus	2701532	LC
2883075	Rhododendron lapponicum (L.) Wahlenb.	2883075	Rhododendron lapponicum (L.) Wahlenb.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Ericaceae	2505	Rhododendron	2883026	Rhododendron lapponicum	2883075	NE
2926885	Satureja hortensis L.	2926885	Satureja hortensis L.	10	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Satureja	2926882	Satureja hortensis	2926885	NE
2927198	Mentha canadensis L.	2927198	Mentha canadensis L.	47	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Mentha	2927173	Mentha canadensis	2927198	NE
2996841	Rubus cuneifolius Pursh	2996841	Rubus cuneifolius Pursh	18	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Rubus	2988638	Rubus cuneifolius	2996841	NE
3138201	Eutrochium fistulosum (Barratt) E.E.Lamont	3138201	Eutrochium fistulosum (Barratt) E.E.Lamont	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Eutrochium	3138186	Eutrochium fistulosum	3138201	NE
3152520	Althaea officinalis L.	3152520	Althaea officinalis L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Malvaceae	6685	Althaea	3152518	Althaea officinalis	3152520	NE
3171965	Euphrasia canadensis F.Towns.	3171984	Euphrasia tetraquetra (Bréb.) Arrond.	5	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Orobanchaceae	6651	Euphrasia	3171955	Euphrasia tetraquetra	3171984	NE
3331064	Inocybe tomentosa Quél.	3331064	Inocybe tomentosa Quél.	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Inocybaceae	4177	Inocybe	2527866	Inocybe tomentosa	3331064	NE
