taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5192777	Crucibulum striatum (Say, 1826)	5192777	Crucibulum striatum (Say, 1826)	3	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Calyptraeidae	6764	Crucibulum	2301644	Crucibulum striatum	5192777	NE
5273511	Ulva fenestrata	5273511	Ulva fenestrata	1	SPECIES	ACCEPTED	Plantae	6	Chlorophyta	36	Ulvophyceae	195	Ulvales	641	Ulvaceae	9013	Ulva	9408069	Ulva fenestrata	5273511	NE
8002952	Ambrosia artemisiifolia L.	8002952	Ambrosia artemisiifolia L.	9	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Ambrosia	3110576	Ambrosia artemisiifolia	8002952	NE
8053580	Dentalium striolatum Stimpson, 1851	2284992	Antalis entalis (Linnaeus, 1758)	2	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Scaphopoda	276	Dentaliida	1152	Dentaliidae	3323	Antalis	2284950	Antalis entalis	2284992	NE
8231752	Polyides rotunda (Hudson) Gaillon	8231752	Polyides rotunda (Hudson) Gaillon	30	SPECIES	ACCEPTED	Plantae	6	Rhodophyta	106	Florideophyceae	342	Gigartinales	1400	Polyidaceae	9017	Polyides	2667629	Polyides rotunda	8231752	NE
8894817	Caretta caretta (Linnaeus, 1758)	8894817	Caretta caretta (Linnaeus, 1758)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Testudines	793	Cheloniidae	9413	Caretta	2442177	Caretta caretta	8894817	VU
9480592	Hapithus saltator (Uhler, 1864)	9480592	Hapithus saltator (Uhler, 1864)	8	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Orthoptera	1458	Gryllidae	5925	Hapithus	1717319	Hapithus saltator	9480592	NE
9630752	Ardea herodias Linnaeus, 1758	9630752	Ardea herodias Linnaeus, 1758	1377	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Ardeidae	3685	Ardea	2480922	Ardea herodias	9630752	LC
1500189	Hybomitra sodalis (Williston, 1887)	1500189	Hybomitra sodalis (Williston, 1887)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Tabanidae	6919	Hybomitra	1500153	Hybomitra sodalis	1500189	NE
1991429	Haematopis grataria Fabricius, 1798	1991429	Haematopis grataria Fabricius, 1798	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Haematopis	1991426	Haematopis grataria	1991429	NE
2316999	Nephtys bucera Ehlers, 1868	2316999	Nephtys bucera Ehlers, 1868	2	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256	Phyllodocida	1079	Nephtyidae	2316797	Nephtys	11274289	Nephtys bucera	2316999	NE
2889777	Comandra umbellata (L.) Nutt.	2889777	Comandra umbellata (L.) Nutt.	10	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Santalales	934	Comandraceae	4936000	Comandra	2889776	Comandra umbellata	2889777	NE
4302316	Urola nivalis (Drury, 1773)	5126718	Argyria nivalis Drury, 1773	4	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Argyria	1881521	Argyria nivalis	5126718	NE
5220086	Megaptera novaeangliae (Borowski, 1781)	5220086	Megaptera novaeangliae (Borowski, 1781)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Cetacea	733	Balaenopteridae	5313	Megaptera	2440748	Megaptera novaeangliae	5220086	LC
5296371	Sisyrinchium fuscatum E.P.Bicknell	5296371	Sisyrinchium fuscatum E.P.Bicknell	5	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Iridaceae	7698	Sisyrinchium	8311345	Sisyrinchium fuscatum	5296371	NE
7832570	Hydrocotyle Hydrocotyle	7832570	Hydrocotyle Hydrocotyle	1	GENUS	DOUBTFUL	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Apiales	1351	Araliaceae	8800	Hydrocotyle	7832570			
8387084	Carex laevivaginata (Kük.) Mack.	8387084	Carex laevivaginata (Kük.) Mack.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893	Carex laevivaginata	8387084	LC
9596413	Sturnella neglecta Audubon, 1844	9596413	Sturnella neglecta Audubon, 1844	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Sturnella	2484248	Sturnella neglecta	9596413	LC
10871118	Ceropales bipunctata	10871118	Ceropales bipunctata	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Pompilidae	7913	Ceropales	3259130	Ceropales bipunctata	10871118	NE
1638597	Lipoptena cervi (Linnaeus, 1758)	1638597	Lipoptena cervi (Linnaeus, 1758)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Hippoboscidae	9491	Lipoptena	1638562	Lipoptena cervi	1638597	NE
1764238	Chaetaglaea sericea Morrison, 1874	1764238	Chaetaglaea sericea Morrison, 1874	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Chaetaglaea	1764234	Chaetaglaea sericea	1764238	NE
1891488	Evergestis rimosalis Guenée, 1854	1891488	Evergestis rimosalis Guenée, 1854	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Evergestis	1891353	Evergestis rimosalis	1891488	NE
2302959	Busycon canaliculatum (Linnaeus, 1758)	2302958	Busycotypus canaliculatus (Linnaeus, 1758)	2	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Busyconidae	6141889	Busycotypus	2302948	Busycotypus canaliculatus	2302958	NE
2481695	Scolopax minor Gmelin, 1789	2481695	Scolopax minor Gmelin, 1789	75	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Scolopax	2481693	Scolopax minor	2481695	LC
2489670	Geothlypis trichas (Linnaeus, 1766)	2489670	Geothlypis trichas (Linnaeus, 1766)	1575	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Geothlypis	2489637	Geothlypis trichas	2489670	LC
2716719	Cyperus strigosus L.	2716719	Cyperus strigosus L.	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Cyperus	2713455	Cyperus strigosus	2716719	LC
2891767	Impatiens pallida Nutt.	2891767	Impatiens pallida Nutt.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Balsaminaceae	6699	Impatiens	2891766	Impatiens pallida	2891767	NE
3054304	Carya tomentosa (Lam.) Nutt.	3054302	Carya alba (L.) Nutt.	3	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Juglandaceae	2499	Carya	3054287	Carya alba	3054302	LC
3151787	Symphyotrichum undulatum (L.) G.L.Nesom	3151787	Symphyotrichum undulatum (L.) G.L.Nesom	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Symphyotrichum	3151391	Symphyotrichum undulatum	3151787	NE
3169365	Lysimachia terrestris (L.) Britton, Sterns & Poggenb.	3169365	Lysimachia terrestris (L.) Britton, Sterns & Poggenb.	6	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Primulaceae	6674	Lysimachia	3169330	Lysimachia terrestris	3169365	LC
5212958	Anguilla chrisypa Rafinesque, 1817	5212956	Anguilla rostrata (Lesueur, 1817)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Actinopterygii	204	Anguilliformes	495	Anguillidae	2949	Anguilla	2403092	Anguilla rostrata	5212956	NE
5342304	Tephrosia virginiana (L.) Pers.	5342304	Tephrosia virginiana (L.) Pers.	29	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Tephrosia	2933053	Tephrosia virginiana	5342304	NE
5728861	Neaera glacialis Sars G.O., 1878	5189409	Cuspidaria glacialis (Sars G.O., 1878)	4	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Bivalvia	137			Cuspidariidae	3470	Cuspidaria	2288468	Cuspidaria glacialis	5189409	NE
6014309	Phallus ravenelii Berk. & M.A.Curtis	6014309	Phallus ravenelii Berk. & M.A.Curtis	3	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Phallales	532	Phallaceae	3292	Phallus	2524102	Phallus ravenelii	6014309	NE
6177952	Calidris canutus rufa (A.Wilson, 1813)	6177952	Calidris canutus rufa (A.Wilson, 1813)	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Calidris	2481739	Calidris canutus	2481765	
8596590	Ardenna gravis (O'Reilly, 1818)	5229343	Puffinus gravis (O'Reilly, 1818)	45	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Procellariiformes	7192755	Procellariidae	9339	Puffinus	5229335	Puffinus gravis	5229343	LC
8621843	Eragrostis cilianensis (All.) Janch.	8621843	Eragrostis cilianensis (All.) Janch.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Eragrostis	2705322	Eragrostis cilianensis	8621843	NE
10114596	Tetramorium immigrans Santschi, 1927	10114596	Tetramorium immigrans Santschi, 1927	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Tetramorium	1323128	Tetramorium immigrans	10114596	NE
1601149	Rabdophaga rigidae Osten Sacken, 1878	1601149	Rabdophaga rigidae Osten Sacken, 1878	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Cecidomyiidae	3338	Rabdophaga	1600988	Rabdophaga rigidae	1601149	NE
1886251	Spoladea recurvalis (Fabricius, 1775)	1886251	Spoladea recurvalis (Fabricius, 1775)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Spoladea	1886248	Spoladea recurvalis	1886251	NE
2016038	Philaenus spumarius (Linnaeus, 1758)	2016038	Philaenus spumarius (Linnaeus, 1758)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Aphrophoridae	3764	Philaenus	2015986	Philaenus spumarius	2016038	NE
2285475	Malletia obtusa (G.O.Sars, 1878)	11139020	Malletia pianii (Van Aartsen & Giannuzzi-Savelli, 1991)	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Bivalvia	137	Nuculanida	9405932	Malletiidae	6877	Malletia	2285471	Malletia pianii	11139020	NE
2458587	Opheodrys vernalis (Harlan, 1827)	2458587	Opheodrys vernalis (Harlan, 1827)	18	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Colubridae	6172	Opheodrys	2458586	Opheodrys vernalis	2458587	LC
2481720	Tringa melanoleuca (Gmelin, 1789)	2481720	Tringa melanoleuca (Gmelin, 1789)	1574	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Tringa	2481709	Tringa melanoleuca	2481720	LC
2483597	Myiarchus crinitus (Linnaeus, 1758)	2483597	Myiarchus crinitus (Linnaeus, 1758)	1155	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Myiarchus	2483527	Myiarchus crinitus	2483597	LC
2704261	Poa palustris L.	2704261	Poa palustris L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Poa	2704173	Poa palustris	2704261	LC
2882446	Brasenia schreberi J.F.Gmel.	2882446	Brasenia schreberi J.F.Gmel.	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Nymphaeales	636	Cabombaceae	6681	Brasenia	2882445	Brasenia schreberi	2882446	LC
2882729	Gaylussacia frondosa (L.) Torr. & A.Gray ex Torr.	2882729	Gaylussacia frondosa (L.) Torr. & A.Gray ex Torr.	13	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Ericaceae	2505	Gaylussacia	2882726	Gaylussacia frondosa	2882729	NE
