taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1941156	Melittia cucurbitae Harris, 1828	1941156	Melittia cucurbitae Harris, 1828	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Sesiidae	5340	Melittia	1941092	Melittia cucurbitae	1941156	NE
2020447	Limnoporus dissortis (Drake & Harris, 1930)	2020447	Limnoporus dissortis (Drake & Harris, 1930)	8	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Gerridae	7881	Limnoporus	2020446	Limnoporus dissortis	2020447	NE
2139661	Agelenopsis utahana (Chamberlin & Ivie, 1933)	2139661	Agelenopsis utahana (Chamberlin & Ivie, 1933)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Agelenidae	7353	Agelenopsis	2139659	Agelenopsis utahana	2139661	NE
2362216	Notropis stramineus (Cope, 1865)	2362216	Notropis stramineus (Cope, 1865)	17	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Cypriniformes	1153	Cyprinidae	7336	Notropis	2362128	Notropis stramineus	2362216	LC
2427092	Rana catesbeiana Shaw, 1802	2427091	Lithobates catesbeianus (Shaw, 1802)	21	SPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Ranidae	6746	Lithobates	2427046	Lithobates catesbeianus	2427091	LC
2498016	Anser Brisson, 1760	2498016	Anser Brisson, 1760	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Anser	2498016			NE
2609143	Phaeophyscia hirsuta (Mereschk.) Essl.	2609143	Phaeophyscia hirsuta (Mereschk.) Essl.	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Caliciales	10861608	Physciaceae	8369	Phaeophyscia	2609136	Phaeophyscia hirsuta	2609143	NE
2889019	Rumex patientia L.	2889019	Rumex patientia L.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Polygonaceae	2416	Rumex	2888942	Rumex patientia	2889019	NE
3411776	Pertusaria macounii (Lamb) Dibben	3411776	Pertusaria macounii (Lamb) Dibben	20	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Pertusariales	1051	Pertusariaceae	4113	Pertusaria	2599923	Pertusaria macounii	3411776	NE
4278591	Ulota crispa var. crispula (Bruch) Hammar	4278593	Ulota crispula Bruch	1	VARIETY	SYNONYM	Plantae	6	Bryophyta	35	Bryopsida	327	Orthotrichales	1341	Orthotrichaceae	4668	Ulota	2671910	Ulota crispula	4278593	
4279943	Sanionia uncinata var. uncinata	2681651	Sanionia uncinata Loeske, 1907	12	VARIETY	SYNONYM	Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Amblystegiaceae	4650	Sanionia	2681648	Sanionia uncinata	2681651	
4296890	Erioptera armata Osten Sacken, 1860	4296890	Erioptera armata Osten Sacken, 1860	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Limoniidae	5580	Erioptera	1516103	Erioptera armata	4296890	NE
4639447	Quadragnostus Howell, 1966	4639447	Quadragnostus Howell, 1966	2	GENUS	DOUBTFUL	Animalia	1	Arthropoda	54	Trilobita	9273948	Agnostida	9538015	Sphaeragnostidae	4639418	Quadragnostus	4639447			
4706489	Phyllocnistis magnoliella Forbes, 1923	4706489	Phyllocnistis magnoliella Forbes, 1923	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Gracillariidae	5487	Phyllocnistis	8057237	Phyllocnistis magnoliella	4706489	NE
5035293	Solenopsis molesta (Say, 1836)	5035293	Solenopsis molesta (Say, 1836)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Solenopsis	9107211	Solenopsis molesta	5035293	NE
5039076	Osmia tersula Cockerell, 1912	5039076	Osmia tersula Cockerell, 1912	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Megachilidae	7911	Osmia	1337664	Osmia tersula	5039076	NE
5103133	Ancylis discigerana Fernald, 1903	5103231	Ancylis lamiana Clemens, 1864	13	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343	Ancylis	7236046	Ancylis lamiana	5103231	NE
5231657	Pinicola enucleator leucura (P.L.Statius Müller, 1776)	5231657	Pinicola enucleator leucura (P.L.Statius Müller, 1776)	30	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Pinicola	2494768	Pinicola enucleator	2494771	
5246954	Polyporus varius (Pers.) Fr.	9400640	Cerioporus varius (Pers.) Zmitr. & Kovalenko	2	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Polyporales	1145	Polyporaceae	3286	Cerioporus	7240748	Cerioporus varius	9400640	NE
5248616	Lactarius quietus (Fr.) Fr.	5248616	Lactarius quietus (Fr.) Fr.	6	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Russulales	1144	Russulaceae	7609	Lactarius	2532156	Lactarius quietus	5248616	NE
5249883	Clavulina coralloides (L.) J.Schröt.	5249883	Clavulina coralloides (L.) J.Schröt.	18	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Cantharellales	1300	Cantharellaceae	8457	Clavulina	2540196	Clavulina coralloides	5249883	NE
5261364	Stereocaulon coralloides Th.Fr.	7247082	Stereocaulon dactylophyllum var. dactylophyllum	5	SPECIES	SYNONYM	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Lecanorales	1048	Stereocaulaceae	8302	Stereocaulon	2608513	Stereocaulon dactylophyllum	5261362	NE
5334457	Polygonum scandens L.	5652201	Fallopia scandens (L.) Holub	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Polygonaceae	2416	Fallopia	2889418	Fallopia scandens	5652201	NE
5359175	Trifolium resupinatum L.	5359175	Trifolium resupinatum L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Trifolium	2973363	Trifolium resupinatum	5359175	NE
5388902	Solidago neglecta Torr. & A.Gray	5388889	Solidago uliginosa Nutt.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Solidago	5388868	Solidago uliginosa	5388889	NE
5415102	Proboscidea louisiana (Mill.) Wooton & Standl.	5415100	Proboscidea louisianica (Mill.) Thell.	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Martyniaceae	3233525	Proboscidea	2627559	Proboscidea louisianica	5415100	NE
5427612	Klebsiella oxytoca (Flügge, 1886) Lautrop, 1956	5427612	Klebsiella oxytoca (Flügge, 1886) Lautrop, 1956	1	SPECIES	ACCEPTED	Bacteria	3	Proteobacteria	111	Gammaproteobacteria	362	Enterobacterales	10801383	Enterobacteriaceae	4899	Klebsiella	3221867	Klebsiella oxytoca	5427612	NE
5936718	Dalmanella testudinaria (Dalman, 1828)	5936718	Dalmanella testudinaria (Dalman, 1828)	2	SPECIES	ACCEPTED	Animalia	1	Brachiopoda	110	Rhynchonellata	210			Dalmanellidae	3251957	Dalmanella	5430296	Dalmanella testudinaria	5936718	NE
6004122	Agrilus egenus Gory, 1841	6004122	Agrilus egenus Gory, 1841	7	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Buprestidae	3789	Agrilus	1049531	Agrilus egenus	6004122	NE
6178038	Pandion haliaetus carolinensis (Gmelin, 1788)	6178038	Pandion haliaetus carolinensis (Gmelin, 1788)	13	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Pandionidae	4408414	Pandion	2480725	Pandion haliaetus	2480726	
6431095	Schizachyrium scoparium var. scoparium	6431095	Schizachyrium scoparium var. scoparium	33	VARIETY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Schizachyrium	2704427	Schizachyrium scoparium	2704432	
6449312	Crataegus punctata var. aurea Aiton	3014805	Crataegus punctata Jacq.	1	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Crataegus	3013395	Crataegus punctata	3014805	
7225576	Rorippa palustris subsp. palustris	7225576	Rorippa palustris subsp. palustris	10	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Rorippa	3053118	Rorippa palustris	3053168	
7251081	Physcia subtilis Degelius	7251081	Physcia subtilis Degelius	5	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Caliciales	10861608	Physciaceae	8369	Physcia	2600367	Physcia subtilis	7251081	NE
7266592	Salix eriocephala var. eriocephala	5372614	Salix eriocephala Michx.	93	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Salicaceae	6664	Salix	3039576	Salix eriocephala	5372614	
7310334	Juncus articulatus var. articulatus	7310334	Juncus articulatus var. articulatus	2	VARIETY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Juncaceae	5353	Juncus	2701072	Juncus articulatus	2701261	
7540293	Ptychostomum capillare (Hedw.) D.T.Holyoak & N.Pedersen	7259189	Bryum capillare Hedw.	1	SPECIES	SYNONYM	Plantae	6	Bryophyta	35	Bryopsida	327	Bryales	1333	Bryaceae	8736	Bryum	2676502	Bryum capillare	7259189	NE
7571564	Cytophagales	7571564	Cytophagales	8	ORDER	ACCEPTED	Bacteria	3	Bacteroidota	10707955	Bacteroidia	7498440	Cytophagales	7571564							
7586030	Harpalus lewisii LeConte, 1865	7586030	Harpalus lewisii LeConte, 1865	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Carabidae	3792	Harpalus	1035821	Harpalus lewisii	7586030	NE
7589197	Selenophorus hylacis (Say, 1823)	7589197	Selenophorus hylacis (Say, 1823)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Carabidae	3792	Selenophorus	1034984	Selenophorus hylacis	7589197	NE
7692645	Taphrina alnitorqua Tul.	2593073	Taphrina alni (Berk. & Broome) Gjaerum	1	SPECIES	SYNONYM	Fungi	5	Ascomycota	95	Taphrinomycetes	184	Taphrinales	1299	Taphrinaceae	4169	Taphrina	2518036	Taphrina alni	2593073	NE
7874380	Habenaria lacera (Michx.) R.Br.	2798100	Platanthera lacera (Michx.) G.Don	3	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Platanthera	2797839	Platanthera lacera	2798100	NE
8276143	Trama troglodytes von Heyden, 1837	8276143	Trama troglodytes von Heyden, 1837	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Aphididae	3042	Trama	2071031	Trama troglodytes	8276143	NE
8313900	Dactylorhiza viridis var. virescens (Muhl. ex Willd.) Baumbach	8313900	Dactylorhiza viridis var. virescens (Muhl. ex Willd.) Baumbach	8	VARIETY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Dactylorhiza	2809736	Dactylorhiza viridis	2810284	
8411056	Hylocomium rugosum (Ehrh. ex Hedw.) De Not.	2679713	Rhytidium rugosum Kindberg, 1883	1	SPECIES	SYNONYM	Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Hylocomiaceae	4652	Rhytidium	2679712	Rhytidium rugosum	2679713	NE
9536910	Lactarius lignyotus subsp. lignyotus	9536910	Lactarius lignyotus subsp. lignyotus	2	SUBSPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Russulales	1144	Russulaceae	7609	Lactarius	2532156	Lactarius lignyotus	7240050	
9567195	Plagodis pulveraria occiduaria (Walker, 1861)	9567195	Plagodis pulveraria occiduaria (Walker, 1861)	8	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Plagodis	1959888	Plagodis pulveraria	1959919	
